ticket_id,customer_id,issue_type,issue_description
T001,CO510,API Issue,API call is failing multiple times and i could not fetch the data
T002,CO511,Login Issue,multiple failures i am facing while trying to login
T003,CO972,UI Issue,The user interface is not loading correctly
T004,CO544,API Issue,API call is failing multiple times and I could not fetch the data
T005,CO819,Data Sync Issue,Data is not syncing between devices
T006,CO912,Billing Issue,Incorrect invoice generated for the last transaction
T007,CO861,Feature Request,Would like to have a dark mode option
T008,CO675,API Issue,API call is failing multiple times and I could not fetch the data
T009,CO927,Payment Issue,Payment did not go through despite several tries
T010,CO743,UI Issue,The user interface is not loading correctly
T011,CO891,Data Sync Issue,Data is not syncing between devices
T012,CO695,Billing Issue,Incorrect invoice generated for the last transaction
T013,CO646,Security Issue,Received multiple invalid authentication code attempts
T014,CO538,Login Issue,Multiple failures I am facing while trying to login
T015,CO865,Account Issue,Unable to update account information
T016,CO534,UI Issue,The user interface is not loading correctly
T017,CO603,Billing Issue,Incorrect invoice generated for the last transaction
T018,CO930,Security Issue,Received multiple invalid authentication code attempts
T019,CO670,API Issue,API call is failing multiple times and I could not fetch the data
T020,CO888,UI Issue,The user interface is not loading correctly
T021,CO651,Data Sync Issue,Data is not syncing between devices
T022,CO649,UI Issue,The user interface is not loading correctly
T023,CO540,Payment Issue,Payment did not go through despite several tries
T024,CO750,Payment Issue,Payment did not go through despite several tries
T025,CO714,UI Issue,The user interface is not loading correctly
T026,CO708,Login Issue,Multiple failures I am facing while trying to login
T027,CO598,Billing Issue,Incorrect invoice generated for the last transaction
T028,CO586,Billing Issue,Incorrect invoice generated for the last transaction
T029,CO883,API Issue,API call is failing multiple times and I could not fetch the data
T030,CO952,Security Issue,Received multiple invalid authentication code attempts
T031,CO644,Login Issue,Multiple failures I am facing while trying to login
T032,CO888,Payment Issue,Payment did not go through despite several tries
T033,CO967,Account Issue,Unable to update account information
T034,CO976,UI Issue,The user interface is not loading correctly
T035,CO555,Feature Request,Would like to have a dark mode option
T036,CO981,API Issue,API call is failing multiple times and I could not fetch the data
T037,CO887,Data Sync Issue,Data is not syncing between devices
T038,CO973,Data Sync Issue,Data is not syncing between devices
T039,CO905,UI Issue,The user interface is not loading correctly
T040,CO800,Data Sync Issue,Data is not syncing between devices
T041,CO562,Feature Request,Would like to have a dark mode option
T042,CO765,UI Issue,The user interface is not loading correctly
T043,CO904,Login Issue,Multiple failures I am facing while trying to login
T044,CO963,Data Sync Issue,Data is not syncing between devices
T045,CO707,Billing Issue,Incorrect invoice generated for the last transaction
T046,CO864,Feature Request,Would like to have a dark mode option
T047,CO746,API Issue,API call is failing multiple times and I could not fetch the data
T048,CO625,Billing Issue,Incorrect invoice generated for the last transaction
T049,CO690,API Issue,API call is failing multiple times and I could not fetch the data
T050,CO550,Billing Issue,Incorrect invoice generated for the last transaction
T051,CO761,Billing Issue,Incorrect invoice generated for the last transaction
T052,CO767,Billing Issue,Incorrect invoice generated for the last transaction
T053,CO812,Account Issue,Unable to update account information
T054,CO684,API Issue,API call is failing multiple times and I could not fetch the data
T055,CO668,Feature Request,Would like to have a dark mode option
T056,CO906,Login Issue,Multiple failures I am facing while trying to login
T057,CO752,Billing Issue,Incorrect invoice generated for the last transaction
T058,CO660,Payment Issue,Payment did not go through despite several tries
T059,CO877,Account Issue,Unable to update account information
T060,CO940,Login Issue,Multiple failures I am facing while trying to login
T061,CO792,Security Issue,Received multiple invalid authentication code attempts
T062,CO529,API Issue,API call is failing multiple times and I could not fetch the data
T063,CO631,Network Issue,Network connectivity keeps dropping during usage
T064,CO733,Data Sync Issue,Data is not syncing between devices
T065,CO965,Network Issue,Network connectivity keeps dropping during usage
T066,CO991,API Issue,API call is failing multiple times and I could not fetch the data
T067,CO842,Data Sync Issue,Data is not syncing between devices
T068,CO724,Billing Issue,Incorrect invoice generated for the last transaction
T069,CO675,Network Issue,Network connectivity keeps dropping during usage
T070,CO533,Security Issue,Received multiple invalid authentication code attempts
T071,CO902,Billing Issue,Incorrect invoice generated for the last transaction
T072,CO613,UI Issue,The user interface is not loading correctly
T073,CO607,Security Issue,Received multiple invalid authentication code attempts
T074,CO709,Network Issue,Network connectivity keeps dropping during usage
T075,CO729,Billing Issue,Incorrect invoice generated for the last transaction
T076,CO586,Account Issue,Unable to update account information
T077,CO874,UI Issue,The user interface is not loading correctly
T078,CO956,Security Issue,Received multiple invalid authentication code attempts
T079,CO736,Data Sync Issue,Data is not syncing between devices
T080,CO512,Network Issue,Network connectivity keeps dropping during usage
T081,CO531,API Issue,API call is failing multiple times and I could not fetch the data
T082,CO947,Billing Issue,Incorrect invoice generated for the last transaction
T083,CO872,Billing Issue,Incorrect invoice generated for the last transaction
T084,CO709,Account Issue,Unable to update account information
T085,CO544,Payment Issue,Payment did not go through despite several tries
T086,CO713,Account Issue,Unable to update account information
T087,CO685,UI Issue,The user interface is not loading correctly
T088,CO906,Security Issue,Received multiple invalid authentication code attempts
T089,CO763,Data Sync Issue,Data is not syncing between devices
T090,CO908,UI Issue,The user interface is not loading correctly
T091,CO632,Data Sync Issue,Data is not syncing between devices
T092,CO516,UI Issue,The user interface is not loading correctly
T093,CO678,UI Issue,The user interface is not loading correctly
T094,CO660,Login Issue,Multiple failures I am facing while trying to login
T095,CO887,Login Issue,Multiple failures I am facing while trying to login
